S/N,ProductName,Description,TextSpecifications,CleansedText
11,Athos Medium Backpack (Leather),"Truly the quintessence of style meets function, the Athos Medium Backpack discreetly combines sleek contours with a bounty of thoughtful compartments for your daily swashbuckling adventures. Named after the leader of The Three Musketeers by Alexandra Dumas, Athos is well-known for his intellect, courage and precise swordsmanship. A hidden detachable zip pouch is engraved with famous quote ""One for all"", while ""All for one"" is engraved on the back of the bag, suggesting strength in unity.","Materials
- U.S full-grain Nappa cow leather
- Water-resistant nylon
- Cotton blend herringbone lining
- YKK Japan Excella gold zippers
Features
- Main compartment has 2 interior pockets
- 1 exterior zippered compartment holding 3 interior pockets and 2 pen slots
- Detachable wristlet bearing the quote ""Tour por un, Un por tour"" with 2 internal card slots",cow waterresistant nylon cotton blend herringbone lining ykk japan excella gold pocket pocket pen detachable wristlet
12,Aspen Slim Crossbody Laptop Briefcase (Canvas Leather),"Sleek and stylish, this slim briefcase is made from full-grain leather, organic canvas and YKK Japan zippers. It will stand by you through boardroom wars as it would those weekend escapades.

Fits a 14"" laptop.","Materials
- Full grain U.S. Cow Leather Accents
- 16oz Waxed Cotton Canvas
- YKK Japan Excella Matt Silver Zippers
- Houndstooth Cotton Lining / Nylon Webbing
Features
- 2 exterior pockets, 3 interior pockets
- Neoprene-padded laptop compartment (Fits 13""/14"" Macbook)
- Signature Hare & Flying Tortoise detailing",cow accent wax cotton canvas ykk japan excella matt silver houndstooth cotton lining   nylon pocket pocket neoprenepadde laptop macbook   tortoise
13,Aspen Crossbody Laptop Briefcase (Canvas Leather),"Coined as the workhorse of classic office bags, this laptop briefcase is made from full-grain leather, organic canvas and YKK Japan zippers. It will stand by you through boardroom wars as it would those weekend escapades.

Fits a 15"" laptop.","Materials
- Full grain U.S. Cow Leather Accents
- 16oz Waxed Cotton Canvas
- YKK Japan Excella Matt Silver Zippers
- Houndstooth Cotton Lining / Nylon Webbing
Features
- 2 exterior pockets, 3 interior pockets
- Neoprene-padded laptop compartment (Fits 13""/15"" Macbook)
- Signature Hare & Flying Tortoise detailing",cow accent wax cotton canvas ykk japan excella matt silver houndstooth cotton lining   nylon pocket pocket neoprenepadde laptop macbook   tortoise
14,Aspen Medium Laptop Briefcase | Web-Exclusive (Nylon Canvas Leather),"Sleek and stylish, this slim briefcase is made from full-grain leather, organic canvas and YKK Japan zippers. It will stand by you through boardroom wars as it would those weekend escapades.

Fits a 13"" laptop.","Materials
- Full-grain U.S. Cow Leather Accents
- 16oz Waxed Cotton Canvas / Water-resistant Nylon
- YKK Japan Excella Matt Silver Zippers
- Houndstooth Cotton Lining / Nylon Webbing
Features
- 2 quick access interior pockets, 1 zippered pocket
- Neoprene-padded laptop compartment (Fits 13"" Macbook)
- Signature Hare & Flying Tortoise detailing",cow accent wax cotton canvas   waterresistant nylon ykk japan excella matt silver houndstooth cotton lining   nylon quick pocket pocket neoprenepadde laptop macbook   tortoise
15,Milton Crossbody Briefcase (Reversible),"The Milton Crossbody Briefcase was created with the shape-shifting sophisticate in mind a sharp slim design, lightweight and infinitely versatile. Reverse it for two contrasting looks. Hand-hold it, clutch it or sling it, it's the closest partner in crime to Mr Hyde you'll find.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers
- 1.5"" ultra-dense nylon webbing strap

Features
- 2 main compartments, 2 interior slots, 1 pen slot
- Fits a 13""/14"" laptop or 15"" Apple MacBook Pro (A1707)
- Double reinforced with hidden webbing at the handles and D-rings
- Reversible (Undo side buttons and flip to reveal 2 contrasting looks)
- Bookmark leather tag allows for personalisation
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold nylon pen laptop apple macbook reinforce hide webbing reversible contrast oxblood
16,Milton Crossbody Briefcase (Reversible) | Web-Exclusive,"The Milton Crossbody Briefcase was created with the shape-shifting sophisticate in mind a sharp slim design, lightweight and infinitely versatile. Reverse it for two contrasting looks. Hand-hold it, clutch it or sling it, it's the closest partner in crime to Mr Hyde you'll find.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers
- 1.5"" ultra-dense nylon webbing strap

Features
- 2 main compartments, 2 interior slots, 1 pen slot
- Fits a 13""/14"" laptop or 15"" Apple MacBook Pro (A1707)
- Double reinforced with hidden webbing at the handles and D-rings
- Reversible (Undo side buttons and flip to reveal 2 contrasting looks)
- Bookmark leather tag allows for personalisation
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold nylon pen laptop apple macbook reinforce hide webbing reversible contrast oxblood
17,Porthos Crossbody Laptop Briefcase (Suede Nylon Leather),"Providing the perfect parallel of style and function, Porthos is well endowed with a bevy of features like a 14"" laptop compartment and luggage slot. This one packs a nifty thrust in your fencing club while it makes a statement in the boardroom. A hidden detachable pouch completes that seamless carry experience and boasts an engraving of the famous quote ""All for one, one for all"" in French. Inspired by ""The Three Musketeers"" by Alexander Dumas.","Materials
- Full grain U.S. Cow Leather
- PU-Backed Nylon
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
- Main compartment has 1 zippered compartment and 1 neoprene-padded laptop compartment (Fits 13""/14"" Macbook)
- 1 exterior zippered compartment holding 3 interior pockets and 2 pen slots
- 1 back pocket with detachable pouch bearing the quote ""Un pour tous, Tous pour un""
- 1 external slot for luggage handle
- Detachable 1.5"" cotton webbing strap",cow pubacke nylon herringbone lining ykk japan excella antique silver neoprenepadded laptop macbook pocket pen pocket detachable pouch detachable cotton strap
18,Porthos Crossbody Laptop Briefcase (Pebble Grain Leather),"Providing the perfect parallel of style and function, Porthos is well endowed with a bevy of features like a 14"" laptop compartment and luggage slot. This one packs a nifty thrust in your fencing club while it makes a statement in the boardroom. A hidden detachable pouch completes that seamless carry experience and boasts an engraving of the famous quote ""All for one, one for all"" in French. Inspired by ""The Three Musketeers"" by Alexander Dumas.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
- Main compartment has 1 zippered compartment and 1 neoprene-padded laptop compartment (Fits 13""/14"" Macbook)
- 1 exterior zippered compartment holding 3 interior pockets and 2 pen slots
- 1 back pocket with detachable pouch bearing the quote ""Un pour tous, Tous pour un""
- 1 external slot for luggage handle
- Detachable 1.5"" cotton webbing strap",cow cross cow herringbone lining ykk japan excella antique silver neoprenepadded laptop macbook pocket pen pocket detachable pouch detachable cotton strap
19,Abbey Medium Clutch (Reversible),"The Abbey represents understated style meets versatility. Use it as a clutch or a bag in bag. Flip it to reveal your wilder side. Designed to fit an iPad snugly, this lightweight, water resistant piece also organises all your essentials with interior pockets aplenty.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers

Features
- 1 main compartments, 2 interior slots, 1 pen slot
- Leather wristlet strap
- Fits an Apple iPad
- Reversible (Flip to reveal 2 contrasting looks)
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold pen wristlet strap apple reversible contrast oxblood
20,Abbey Medium Clutch (Reversible) | Web-Exclusive,"The Abbey represents understated style meets versatility. Use it as a clutch or a bag in bag. Flip it to reveal your wilder side. Designed to fit an iPad snugly, this lightweight, water resistant piece also organises all your essentials with interior pockets aplenty.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers

Features
- 1 main compartments, 2 interior slots, 1 pen slot
- Leather wristlet strap
- Fits an Apple iPad
- Reversible (Flip to reveal 2 contrasting looks)
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold pen wristlet strap apple reversible contrast oxblood
21,Aramis Crossbody Clutch (Suede Nylon Leather),"Aramis exudes an understated simplicity that speaks volumes. Clutch it or sling it cross body, its elegant body elevates the grace of your every antic. Multiple interior slots provide outstanding functionality. 

Inspired by Alexandra Dumas' The Three Musketeers, uncover an engraving of the famous quote ""One for all, all for one"" in french.","Materials
- Full grain U.S. Cow Leather
- PU-Backed Nylon
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
- Main compartment has 2 interior pockets, 2 pen slots
- Fits an iPad
- 1 exterior zippered compartment
- Debossed quote ""Un pour tous, tous pour un""
- Detachable 1"" cotton webbing shoulder strap",cow pubacke nylon herringbone lining ykk japan excella antique silver pocket pen detachable cotton strap
22,Aramis Crossbody Clutch (Pebble Grain Leather),"Aramis exudes an understated simplicity that speaks volumes. Clutch it or sling it cross body, its elegant body elevates the grace of your every antic. Multiple interior slots provide outstanding functionality. 

Inspired by Alexandra Dumas' The Three Musketeers, uncover an engraving of the famous quote ""One for all, all for one"" in french.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
- YKK Japan Excella antique silver zippers
Features
- Main compartment has 2 interior pockets, 2 pen slots
- Fits an iPad
- 1 exterior zippered compartment
- Debossed quote ""Un pour tous, tous pour un""
- Detachable 1"" cotton webbing shoulder strap",cow cross cow herringbone lining ykk japan excella antique silver pocket pen detachable cotton strap
23,Milton Mini Crossbody Clutch (Reversible),"The Milton Mini combines the minimalist silhouette of a clutch with the timeless versatility of a crossbody bag, perfect for that evening cocktail as it is for that weekend outing. When reversed, a print in a contrasting colour is revealed, providing that unique twist to any outfit.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers
- 0.75"" ultra-dense nylon webbing strap

Features
- 2 main compartments, 2 interior slots
- Fits a Kindle Paperwhite
- Reversible (Undo side buttons and flip to reveal 2 contrasting looks)
- Bookmark leather tag allows for personalisation
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold nylon kindle paperwhite reversible contrast oxblood
24,Milton Mini Crossbody Clutch (Reversible) | Web-Exclusive,"The Milton Mini combines the minimalist silhouette of a clutch with the timeless versatility of a crossbody bag, perfect for that evening cocktail as it is for that weekend outing. When reversed, a print in a contrasting colour is revealed, providing that unique twist to any outfit.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers
- 0.75"" ultra-dense nylon webbing strap

Features
- 2 main compartments, 2 interior slots
- Fits a Kindle Paperwhite
- Reversible (Undo side buttons and flip to reveal 2 contrasting looks)
- Bookmark leather tag allows for personalisation
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold nylon kindle paperwhite reversible contrast oxblood
25,Milton Crossbody Clutch (Reversible),"The Milton combines the minimalist silhouette of a clutch with the timeless versatility of a crossbody bag, perfect for that evening cocktail as it is for that weekend outing. When reversed, a print in a contrasting colour is revealed, providing that unique twist to any outfit.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers
- 0.75"" ultra-dense nylon webbing strap

Features
- 2 main compartments, 2 interior slots, 1 pen slot
- Fits an Apple iPad
- Reversible (Undo side buttons and flip to reveal 2 contrasting looks)
- Bookmark leather tag allows for personalisation
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold nylon pen apple reversible contrast oxblood
26,Milton Crossbody Clutch (Reversible) | Web-Exclusive,"The Milton combines the minimalist silhouette of a clutch with the timeless versatility of a crossbody bag, perfect for that evening cocktail as it is for that weekend outing. When reversed, a print in a contrasting colour is revealed, providing that unique twist to any outfit.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers
- 0.75"" ultra-dense nylon webbing strap

Features
- 2 main compartments, 2 interior slots, 1 pen slot
- Fits an Apple iPad
- Reversible (Undo side buttons and flip to reveal 2 contrasting looks)
- Bookmark leather tag allows for personalisation
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold nylon pen apple reversible contrast oxblood
27,Thyme Small Crossbody Messenger (Canvas Leather),"The Thyme Small Crossbody Messenger is built from full-grain leather, waxed canvas and YKK Japan zippers. With a shock-absorbent tablet compartment, it's your trusty companion for world travels and daily commutes.

Watch the race unfold as the Hare & Tortoise zip across the bag from the ""Start"" to the ""Finish"". Who will win the race?.","Materials
- Full grain U.S. Cow Leather Accents
- 16oz Organic Cotton Canvas
- YKK Japan Excella Matt Silver Zippers
- Houndstooth Cotton Lining / Nylon Webbing
Features
- 1 exterior pocket with tech-friendly slots, 3 interior pockets
- Neoprene-padded tablet compartment (Fits all iPads)
- Signature Hare & Flying Tortoise detailing",cow accent organic cotton canvas ykk japan excella matt silver houndstooth cotton lining   nylon pocket techfriendly pocket neoprenepadde tablet   tortoise
28,Thyme Crossbody Laptop Messenger (Canvas Leather),"The Thyme is your classic messenger, contrived of full-grain leather, waxed canvas, YKK Japan zippers and a shock-absorbent 13"" laptop compartment. While holding all your essentials in a compact profile, it speaks volumes through understated detailing and finishing.

Watch the race unfold as the Hare & Tortoise zip across the bag from the ""Start"" to the ""Finish"". Who will win the race?","Materials
- Full grain U.S. Cow Leather Accents
- 16oz Waxed Cotton Canvas
- YKK Japan Excella Matt Silver Zippers
- Houndstooth Cotton Lining / Nylon Webbing
Features
- 1 exterior pocket with tech-friendly slots, 3 interior pockets
- Neoprene-padded laptop compartment (Fits 13"" Macbook)
- Signature Hare & Flying Tortoise detailing",cow accent wax cotton canvas ykk japan excella matt silver houndstooth cotton lining   nylon pocket techfriendly pocket neoprenepadde laptop macbook   tortoise
29,Castor Laptop Tote (Canvas Leather),"The Castor Laptop Tote provides versatility for every style and occasion. A shock-absorbent 14"" laptop compartment and luggage slot make airport security clearance a breeze.

Watch the race unfold as the Hare & Tortoise zip across the bag from the ""Start"" to the ""Finish"". Who will win the race?

Crafted in USA full-grain leather and water-resistant waxed canvas.","Materials
- Full grain U.S Cow Leather Accents
- 16oz Waxed Cotton Canvas
- YKK Japan Excella Matt Silver Zippers
- Houndstooth Cotton Lining / Nylon Webbing
Features
- 2 exterior pockets, 3 interior pockets
- Neoprene-padded laptop compartments (Fits 13""/14"" Laptop)
- Signature Hare & Flying Tortoise detailing",cow accent wax cotton canvas ykk japan excella matt silver houndstooth cotton lining   nylon pocket pocket neoprenepadde laptop laptop   tortoise
30,Chelsea Tote (Reversible),"Inspired by the duality of ""Dr Jekyll & Mr Hyde"", the reversible Chelsea tote was designed to offer two distinct looks in one bag. One side presents a lustrous nylon, which speaks of a collected Dr Jekyll, the other features a printed canvas, each motif testament to the unconventional ways of Mr Hyde.

Both characters spar with their other selves via a message that is UV-printed on the inner base of the bag, a hint at the fine line that one might thread between the two contradicting personalities. Hyde expresses his urges to Jekyll with ""Let me out!"". In response, Jekyll says to Hyde, ""That's enough!"".

Crafted for the modern lady on-the-go, conquer your work week and workouts with the classic and elegant Jekyll side. Then reverse her to unleash your inner Hyde as you traverse weekend festivals and tea-parties alike. Ultra-lightweight at less than 500 grams, it features a capacious interior, water repellant capabilities and USA full grain leather handles that will age gracefully with use.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers

Features
- 1 main compartments, 1 zippered pocket, 2 interior slots
- Fits a 13""/14"" laptop or 15"" Apple MacBook Pro (A1707)
- Reversible (Flip inside out to reveal 2 contrasting looks)
- Unique UV-printed ""Let me out! - Hyde"" and ""That's enough... - Jekyll' at the base of the bag
- Bookmark leather tag allows for personalisation
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold pocket laptop apple macbook reversible contrast uvprinted   hyde s   oxblood
31,Chelsea Tote (Reversible) | Web-Exclusive,"The Chelsea was crafted for the modern lady on-the-go, featuring a capacious interior, water repellant capabilities and USA full grain leather handles that will age gracefully with use. Reverse her to unleash your inner Hyde as you traverse weekend festivals and tea-parties alike.","Materials
- Full-grain U.S cow leather accents
- Water-resistant PU-backed nylon
- Water-resistant custom Maverick cotton canvas
- YKK Japan Excella gold zippers

Features
- 1 main compartments, 1 zippered pocket, 2 interior slots
- Fits a 13""/14"" laptop or 15"" Apple MacBook Pro (A1707)
- Reversible (Flip inside out to reveal 2 contrasting looks)
- Unique UV-printed ""Let me out! - Hyde"" and ""That's enough... -Jekyll"" at the base of the bag
- Bookmark leather tag allows for personalisation
- Signature oxblood hand-stitch details",cow accent waterresistant pubacke nylon waterresistant maverick cotton canvas ykk japan excella gold pocket laptop apple macbook reversible contrast uvprinted   hyde s oxblood
32,Balsa Travel Duffel,"The Balsa Travel Duffel makes for a classy weekender perfect for road trips or staycations. Store your shoes, gym gear, and a varied wardrobe with room to spare. Organise them via multiple interior pockets. A luggage slot at the back makes for convenient usage with your suitcase. Comes with a crossbody strap so you can carry and style it multiple ways.

Watch the race unfold before you as the Hare & Tortoise zip across the bag from the ""Start"" to the ""Finish"". Who will win the race?","Materials
- Full grain U.S. Cow Leather base
- 12oz Cotton Canvas
- 100% Cotton Twill Lining
- 2"" military grade cotton webbing shoulder strap
Features
- 3 interior pockets
- Luggage slot and cabin baggage friendly
- Signature Hare & Flying Tortoise story label and detail accents",cow cotton canvas cotton twill military cotton pocket cabin   tortoise accent
33,Felton Compact Coin Slot Bifold Wallet,"Felton is your leather wallet of choice for covert expeditions around the globe. It's been obsessively engineered to hold all your daily essentials without telling the world what a modern musketeer you are. A secret coin compartment might be the only thing that will blow your cover, but secrets are meant to be kept, aren't they? 

Inspired by Alexandra Dumas' The Three Musketeers, uncover an engraving of the famous quote ""One for all, all for one"" in french.","Materials
- Full grain U.S. Cow Leather
- Cross grain U.S Cow Leather
- Herringbone Lining
Features
- 1 bill compartment, 6 card slots 1 hidden coin compartment
- Debossed quote ""Un pour tous, Tous pour un""
- Packaged in our Signature Book III: The 4th Musketeer box",cow cross cow herringbone bill hide book musketeer box
